timestamp_day,hour,replica,mem_mib,cpu_millicores
2,23,checkout-6d9-b,349.7,12.3
3,0,checkout-6d9-a,154.7,5.1
3,0,checkout-6d9-b,149.1,7.0
3,1,checkout-6d9-a,162.0,8.8
3,1,checkout-6d9-b,158.1,3.6
3,2,checkout-6d9-a,147.1,4.9
3,2,checkout-6d9-b,147.8,8.1
3,3,checkout-6d9-a,168.7,6.9
3,3,checkout-6d9-b,150.2,2
3,4,checkout-6d9-a,145.2,8.5
3,4,checkout-6d9-b,146.9,6.1
3,5,checkout-6d9-a,151.9,6.7
3,5,checkout-6d9-b,159.6,5.5
3,6,checkout-6d9-a,169.7,5.2
3,6,checkout-6d9-b,153.0,6.8
3,7,checkout-6d9-a,186.7,7.1
3,7,checkout-6d9-b,173.3,7.3
3,8,checkout-6d9-a,188.0,7.0
3,8,checkout-6d9-b,192.5,7.0
3,9,checkout-6d9-a,213.0,4.9
3,9,checkout-6d9-b,219.9,10.5
3,10,checkout-6d9-a,229.0,6.4
3,10,checkout-6d9-b,236.0,9.1
3,11,checkout-6d9-a,253.1,10.7
3,11,checkout-6d9-b,243.8,5.4
3,12,checkout-6d9-a,253.6,8.4
3,12,checkout-6d9-b,232.0,7.5
3,13,checkout-6d9-a,242.7,9.0
3,13,checkout-6d9-b,239.8,8.8
3,14,checkout-6d9-a,241.3,8.8
3,14,checkout-6d9-b,237.8,7.0
3,15,checkout-6d9-a,253.6,9.7
3,15,checkout-6d9-b,262.4,10.8
3,16,checkout-6d9-a,290.5,9.5
3,16,checkout-6d9-b,287.6,10.9
3,17,checkout-6d9-a,342.0,9.2
3,17,checkout-6d9-b,341.5,12.3
3,18,checkout-6d9-a,412.4,10.8
3,18,checkout-6d9-b,386.5,14.6
3,19,checkout-6d9-a,430.6,15.2
3,19,checkout-6d9-b,429.3,17.9
3,20,checkout-6d9-a,449.7,16.0
3,20,checkout-6d9-b,460.5,13.6
3,21,checkout-6d9-a,435.6,12.8
3,21,checkout-6d9-b,424.7,15.0
3,22,checkout-6d9-a,388.5,14.7
3,22,checkout-6d9-b,397.8,12.6
3,23,checkout-6d9-a,331.8,11.6
3,23,checkout-6d9-b,339.4,10.2
4,0,checkout-6d9-a,166.6,6.0
4,0,checkout-6d9-b,151.7,3.2
4,1,checkout-6d9-a,150.7,6.6
4,1,checkout-6d9-b,138.7,3.7
4,2,checkout-6d9-a,152.4,6.5
4,2,checkout-6d9-b,151.3,6.8
4,3,checkout-6d9-a,142.5,2
4,3,checkout-6d9-b,147.4,7.2
4,4,checkout-6d9-a,145.8,5.9
4,4,checkout-6d9-b,152.9,7.2
4,5,checkout-6d9-a,155.8,3.6
4,5,checkout-6d9-b,139.6,5.6
4,6,checkout-6d9-a,149.8,5.8
4,6,checkout-6d9-b,155.8,4.7
4,7,checkout-6d9-a,153.6,7.8
4,7,checkout-6d9-b,166.7,6.5
4,8,checkout-6d9-a,203.6,6.1
4,8,checkout-6d9-b,191.8,7.3
4,9,checkout-6d9-a,213.9,6.3
4,9,checkout-6d9-b,211.1,7.8
4,10,checkout-6d9-a,244.8,8.4
4,10,checkout-6d9-b,212.4,10.0
4,11,checkout-6d9-a,238.3,5.8
4,11,checkout-6d9-b,255.3,7.4
4,12,checkout-6d9-a,250.6,10.1
4,12,checkout-6d9-b,240.9,9.0
4,13,checkout-6d9-a,240.4,9.9
4,13,checkout-6d9-b,234.4,10.5
4,14,checkout-6d9-a,241.7,6.2
4,14,checkout-6d9-b,254.9,10.6
4,15,checkout-6d9-a,254.2,12.0
4,15,checkout-6d9-b,267.0,9.3
4,16,checkout-6d9-a,300.2,11.3
4,16,checkout-6d9-b,286.8,10.8
4,17,checkout-6d9-a,341.4,12.6
4,17,checkout-6d9-b,346.1,10.1
4,18,checkout-6d9-a,400.7,11.4
4,18,checkout-6d9-b,411.9,12.8
4,19,checkout-6d9-a,449.0,14.8
4,19,checkout-6d9-b,430.7,13.1
4,20,checkout-6d9-a,476.4,15.3
4,20,checkout-6d9-b,455.9,15.9
4,21,checkout-6d9-a,442.1,12.2
4,21,checkout-6d9-b,441.0,15.2
4,22,checkout-6d9-a,381.8,13.0
4,22,checkout-6d9-b,390.1,11.3
4,23,checkout-6d9-a,340.3,13.5
4,23,checkout-6d9-b,349.7,13.0
5,0,checkout-6d9-a,171.1,9.1
5,0,checkout-6d9-b,165.7,7.5
5,1,checkout-6d9-a,157.8,7.1
5,1,checkout-6d9-b,163.6,6.6
5,2,checkout-6d9-a,140.9,4.9
5,2,checkout-6d9-b,155.0,4.2
5,3,checkout-6d9-a,153.2,7.6
5,3,checkout-6d9-b,162.4,2.2
5,4,checkout-6d9-a,152.1,8.1
5,4,checkout-6d9-b,164.1,7.3
5,5,checkout-6d9-a,168.9,6.7
5,5,checkout-6d9-b,175.6,8.0
5,6,checkout-6d9-a,161.3,6.9
5,6,checkout-6d9-b,160.6,6.8
5,7,checkout-6d9-a,169.9,5.3
5,7,checkout-6d9-b,180.5,5.3
5,8,checkout-6d9-a,184.8,7.5
5,8,checkout-6d9-b,216.2,7.7
5,9,checkout-6d9-a,229.5,5.3
5,9,checkout-6d9-b,220.4,7.5
5,10,checkout-6d9-a,239.3,10.9
5,10,checkout-6d9-b,247.3,5.1
5,11,checkout-6d9-a,259.7,9.7
5,11,checkout-6d9-b,278.4,9.4
5,12,checkout-6d9-a,272.0,7.7
5,12,checkout-6d9-b,260.3,8.9
5,13,checkout-6d9-a,252.9,10.2
5,13,checkout-6d9-b,250.5,8.6
5,14,checkout-6d9-a,275.8,10.3
5,14,checkout-6d9-b,261.2,9.8
5,15,checkout-6d9-a,277.4,10.5
5,15,checkout-6d9-b,278.0,9.6
5,16,checkout-6d9-a,323.0,13.0
5,16,checkout-6d9-b,323.0,10.9
5,17,checkout-6d9-a,363.3,15.6
5,17,checkout-6d9-b,380.4,12.0
5,18,checkout-6d9-a,417.8,15.4
5,18,checkout-6d9-b,428.1,13.3
5,19,checkout-6d9-a,480.6,14.4
5,19,checkout-6d9-b,482.6,17.4
5,20,checkout-6d9-a,460.3,15.2
5,20,checkout-6d9-b,467.4,15.3
5,21,checkout-6d9-a,462.3,14.0
5,21,checkout-6d9-b,456.5,16.1
5,22,checkout-6d9-a,410.6,13.1
5,22,checkout-6d9-b,415.2,15.5
5,23,checkout-6d9-a,348.7,10.7
5,23,checkout-6d9-b,358.4,10.3
6,0,checkout-6d9-a,150.0,4.5
6,0,checkout-6d9-b,141.0,6.8
6,1,checkout-6d9-a,136.5,7.6
6,1,checkout-6d9-b,144.9,3.4
6,2,checkout-6d9-a,144.4,2.5
6,2,checkout-6d9-b,143.3,3.7
6,3,checkout-6d9-a,126.6,9.3
6,3,checkout-6d9-b,138.7,3.2
6,4,checkout-6d9-a,135.7,4.4
6,4,checkout-6d9-b,140.5,5.9
6,5,checkout-6d9-a,136.4,6.0
6,5,checkout-6d9-b,141.1,7.0
6,6,checkout-6d9-a,126.6,3.6
6,6,checkout-6d9-b,134.4,5.7
6,7,checkout-6d9-a,147.3,3.6
6,7,checkout-6d9-b,166.7,5.0
6,8,checkout-6d9-a,169.1,4.1
6,8,checkout-6d9-b,160.7,6.7
6,9,checkout-6d9-a,197.8,6.9
6,9,checkout-6d9-b,206.9,7.8
6,10,checkout-6d9-a,203.6,9.7
6,10,checkout-6d9-b,210.2,8.9
6,11,checkout-6d9-a,215.2,8.5
6,11,checkout-6d9-b,221.5,6.7
6,12,checkout-6d9-a,207.5,7.5
6,12,checkout-6d9-b,209.5,7.4
6,13,checkout-6d9-a,218.3,8.4
6,13,checkout-6d9-b,202.6,6.7
6,14,checkout-6d9-a,219.3,5.9
6,14,checkout-6d9-b,227.1,6.0
6,15,checkout-6d9-a,234.9,7.8
6,15,checkout-6d9-b,240.7,8.3
6,16,checkout-6d9-a,260.6,9.2
6,16,checkout-6d9-b,246.8,7.4
6,17,checkout-6d9-a,317.7,9.7
6,17,checkout-6d9-b,310.7,9.5
6,18,checkout-6d9-a,336.4,12.4
6,18,checkout-6d9-b,358.3,12.7
6,19,checkout-6d9-a,385.6,12.7
6,19,checkout-6d9-b,395.7,11.7
6,20,checkout-6d9-a,405.9,11.8
6,20,checkout-6d9-b,413.5,18.1
6,21,checkout-6d9-a,396.1,13.3
6,21,checkout-6d9-b,398.7,15.7
6,22,checkout-6d9-a,374.1,11.2
6,22,checkout-6d9-b,351.9,11.3
6,23,checkout-6d9-a,298.5,13.1
6,23,checkout-6d9-b,299.4,13.1
7,0,checkout-6d9-a,124.1,3.5
7,0,checkout-6d9-b,115.7,5.2
7,1,checkout-6d9-a,133.5,4.7
7,1,checkout-6d9-b,126.1,6.5
7,2,checkout-6d9-a,121.0,4.5
7,2,checkout-6d9-b,136.8,5.0
7,3,checkout-6d9-a,137.2,4.1
7,3,checkout-6d9-b,131.2,6.8
7,4,checkout-6d9-a,136.6,3.8
7,4,checkout-6d9-b,143.0,7.7
7,5,checkout-6d9-a,134.9,6.4
7,5,checkout-6d9-b,152.4,7.4
7,6,checkout-6d9-a,160.4,7.1
7,6,checkout-6d9-b,134.9,6.6
7,7,checkout-6d9-a,152.5,5.8
7,7,checkout-6d9-b,160.2,6.2
7,8,checkout-6d9-a,189.6,8.1
7,8,checkout-6d9-b,182.2,8.2
7,9,checkout-6d9-a,183.5,5.6
7,9,checkout-6d9-b,196.1,8.9
7,10,checkout-6d9-a,221.9,9.3
7,10,checkout-6d9-b,226.3,10.5
7,11,checkout-6d9-a,218.2,8.9
7,11,checkout-6d9-b,221.9,8.1
7,12,checkout-6d9-a,225.4,6.8
7,12,checkout-6d9-b,217.1,7.7
7,13,checkout-6d9-a,225.9,5.2
7,13,checkout-6d9-b,228.7,9.1
7,14,checkout-6d9-a,205.6,4.0
7,14,checkout-6d9-b,225.5,7.7
7,15,checkout-6d9-a,241.3,7.5
7,15,checkout-6d9-b,250.6,8.6
7,16,checkout-6d9-a,266.9,10.4
7,16,checkout-6d9-b,274.0,10.9
7,17,checkout-6d9-a,318.1,6.2
7,17,checkout-6d9-b,303.4,12.6
7,18,checkout-6d9-a,351.8,13.8
7,18,checkout-6d9-b,349.7,9.8
7,19,checkout-6d9-a,406.1,16.3
7,19,checkout-6d9-b,393.5,12.5
7,20,checkout-6d9-a,399.9,11.6
7,20,checkout-6d9-b,423.7,13.5
7,21,checkout-6d9-a,405.0,14.8
7,21,checkout-6d9-b,392.7,12.8
7,22,checkout-6d9-a,353.2,9.8
7,22,checkout-6d9-b,351.8,10.5
7,23,checkout-6d9-a,301.0,8.5
7,23,checkout-6d9-b,297.0,9.5
8,0,checkout-6d9-a,157.5,6.9
8,0,checkout-6d9-b,138.6,8.7
8,1,checkout-6d9-a,146.8,3.9
8,1,checkout-6d9-b,142.3,4.9
8,2,checkout-6d9-a,161.9,7.9
8,2,checkout-6d9-b,147.1,7.5
8,3,checkout-6d9-a,157.1,4.8
8,3,checkout-6d9-b,154.2,5.1
8,4,checkout-6d9-a,162.9,5.3
8,4,checkout-6d9-b,155.7,6.5
8,5,checkout-6d9-a,138.7,5.4
8,5,checkout-6d9-b,139.4,3.4
8,6,checkout-6d9-a,153.5,3.0
8,6,checkout-6d9-b,159.3,7.7
8,7,checkout-6d9-a,183.4,6.6
8,7,checkout-6d9-b,183.6,6.5
8,8,checkout-6d9-a,199.7,9.0
8,8,checkout-6d9-b,191.5,8.3
8,9,checkout-6d9-a,202.3,8.4
8,9,checkout-6d9-b,219.0,11.1
8,10,checkout-6d9-a,222.7,4.8
8,10,checkout-6d9-b,227.7,7.9
8,11,checkout-6d9-a,249.0,8.4
8,11,checkout-6d9-b,241.9,8.0
8,12,checkout-6d9-a,256.8,8.5
8,12,checkout-6d9-b,245.8,6.9
8,13,checkout-6d9-a,236.8,8.6
8,13,checkout-6d9-b,238.5,10.2
8,14,checkout-6d9-a,242.3,8.8
8,14,checkout-6d9-b,246.8,6.9
8,15,checkout-6d9-a,255.2,8.8
8,15,checkout-6d9-b,268.4,12.5
8,16,checkout-6d9-a,305.4,11.7
8,16,checkout-6d9-b,315.4,9.9
8,17,checkout-6d9-a,352.6,9.1
8,17,checkout-6d9-b,354.5,12.3
8,18,checkout-6d9-a,405.0,13.2
8,18,checkout-6d9-b,381.6,14.8
8,19,checkout-6d9-a,437.7,14.3
8,19,checkout-6d9-b,419.6,12.5
8,20,checkout-6d9-a,447.2,12.9
8,20,checkout-6d9-b,442.8,13.9
8,21,checkout-6d9-a,446.3,13.0
8,21,checkout-6d9-b,433.5,13.7
8,22,checkout-6d9-a,400.0,16.1
8,22,checkout-6d9-b,386.7,13.5
8,23,checkout-6d9-a,350.9,9.1
8,23,checkout-6d9-b,362.3,10.4
9,0,checkout-6d9-a,136.5,6.6
9,0,checkout-6d9-b,154.1,6.4
9,1,checkout-6d9-a,127.9,5.3
9,1,checkout-6d9-b,146.0,4.1
9,2,checkout-6d9-a,132.6,6.0
9,2,checkout-6d9-b,147.1,8.0
9,3,checkout-6d9-a,142.3,6.1
9,3,checkout-6d9-b,160.2,9.6
9,4,checkout-6d9-a,164.7,5.9
9,4,checkout-6d9-b,150.3,5.5
9,5,checkout-6d9-a,142.3,4.2
9,5,checkout-6d9-b,169.5,3.1
9,6,checkout-6d9-a,178.3,7.3
9,6,checkout-6d9-b,149.9,2.3
9,7,checkout-6d9-a,164.8,7.7
9,7,checkout-6d9-b,180.3,6.7
9,8,checkout-6d9-a,185.1,6.2
9,8,checkout-6d9-b,188.5,8.9
9,9,checkout-6d9-a,229.4,9.0
9,9,checkout-6d9-b,228.2,9.0
9,10,checkout-6d9-a,242.7,7.9
9,10,checkout-6d9-b,233.8,10.6
9,11,checkout-6d9-a,248.7,5.8
9,11,checkout-6d9-b,242.6,8.2
9,12,checkout-6d9-a,249.3,10.4
9,12,checkout-6d9-b,243.1,6.5
9,13,checkout-6d9-a,241.9,10.1
9,13,checkout-6d9-b,248.2,10.3
9,14,checkout-6d9-a,248.6,9.2
9,14,checkout-6d9-b,246.7,9.7
9,15,checkout-6d9-a,246.7,9.9
9,15,checkout-6d9-b,266.8,11.0
9,16,checkout-6d9-a,281.3,8.7
9,16,checkout-6d9-b,311.3,9.8
9,17,checkout-6d9-a,347.7,12.2
9,17,checkout-6d9-b,354.2,17.0
9,18,checkout-6d9-a,382.7,14.9
9,18,checkout-6d9-b,394.8,14.2
9,19,checkout-6d9-a,441.2,15.8
9,19,checkout-6d9-b,446.8,14.3
9,20,checkout-6d9-a,449.7,14.9
9,20,checkout-6d9-b,452.3,17.0
9,21,checkout-6d9-a,425.7,11.6
9,21,checkout-6d9-b,432.2,12.5
9,22,checkout-6d9-a,387.3,13.7
9,22,checkout-6d9-b,396.7,12.7
9,23,checkout-6d9-a,343.6,10.6
9,23,checkout-6d9-b,332.0,11.4
10,0,checkout-6d9-a,148.3,5.6
10,0,checkout-6d9-b,152.0,4.9
10,1,checkout-6d9-a,154.0,4.6
10,1,checkout-6d9-b,132.6,5.3
10,2,checkout-6d9-a,156.3,6.0
10,2,checkout-6d9-b,136.1,7.3
10,3,checkout-6d9-a,144.4,6.1
10,3,checkout-6d9-b,133.7,6.5
10,4,checkout-6d9-a,158.4,8.3
10,4,checkout-6d9-b,132.5,4.2
10,5,checkout-6d9-a,151.9,7.3
10,5,checkout-6d9-b,157.1,6.1
10,6,checkout-6d9-a,170.5,9.9
10,6,checkout-6d9-b,175.0,6.4
10,7,checkout-6d9-a,172.8,6.5
10,7,checkout-6d9-b,171.2,6.1
10,8,checkout-6d9-a,203.8,7.3
10,8,checkout-6d9-b,197.0,5.1
10,9,checkout-6d9-a,204.3,7.5
10,9,checkout-6d9-b,204.8,5.9
10,10,checkout-6d9-a,225.6,8.8
10,10,checkout-6d9-b,233.1,6.5
10,11,checkout-6d9-a,237.5,9.5
10,11,checkout-6d9-b,250.9,7.6
10,12,checkout-6d9-a,251.8,8.5
10,12,checkout-6d9-b,237.6,6.5
10,13,checkout-6d9-a,229.8,7.3
10,13,checkout-6d9-b,239.0,8.6
10,14,checkout-6d9-a,266.7,11.0
10,14,checkout-6d9-b,235.7,9.9
10,15,checkout-6d9-a,265.0,8.9
10,15,checkout-6d9-b,266.5,10.3
10,16,checkout-6d9-a,297.5,8.5
10,16,checkout-6d9-b,295.6,10.4
10,17,checkout-6d9-a,352.0,9.9
10,17,checkout-6d9-b,341.4,11.1
10,18,checkout-6d9-a,400.8,12.7
10,18,checkout-6d9-b,402.6,12.6
10,19,checkout-6d9-a,431.6,15.6
10,19,checkout-6d9-b,450.5,14.7
10,20,checkout-6d9-a,443.4,15.4
10,20,checkout-6d9-b,449.1,14.1
10,21,checkout-6d9-a,439.3,14.0
10,21,checkout-6d9-b,440.6,16.7
10,22,checkout-6d9-a,413.9,14.5
10,22,checkout-6d9-b,400.6,13.2
10,23,checkout-6d9-a,342.2,12.5
10,23,checkout-6d9-b,344.0,11.6
11,0,checkout-6d9-a,147.6,9.2
11,0,checkout-6d9-b,147.2,8.6
11,1,checkout-6d9-a,148.9,8.3
11,1,checkout-6d9-b,156.7,7.6
11,2,checkout-6d9-a,163.1,8.7
11,2,checkout-6d9-b,176.4,4.9
11,3,checkout-6d9-a,153.0,4.5
11,3,checkout-6d9-b,162.0,7.8
11,4,checkout-6d9-a,141.9,5.6
11,4,checkout-6d9-b,150.2,7.1
11,5,checkout-6d9-a,166.3,4.3
11,5,checkout-6d9-b,161.2,7.9
11,6,checkout-6d9-a,171.4,9.6
11,6,checkout-6d9-b,165.9,6.2
11,7,checkout-6d9-a,178.1,6.6
11,7,checkout-6d9-b,166.6,10.4
11,8,checkout-6d9-a,181.8,7.7
11,8,checkout-6d9-b,200.0,6.4
11,9,checkout-6d9-a,228.1,7.5
11,9,checkout-6d9-b,226.3,7.4
11,10,checkout-6d9-a,235.3,9.4
11,10,checkout-6d9-b,231.2,7.8
11,11,checkout-6d9-a,236.3,7.4
11,11,checkout-6d9-b,243.0,9.0
11,12,checkout-6d9-a,250.5,10.8
11,12,checkout-6d9-b,257.4,10.3
11,13,checkout-6d9-a,243.2,10.0
11,13,checkout-6d9-b,234.2,8.2
11,14,checkout-6d9-a,234.0,8.8
11,14,checkout-6d9-b,253.2,10.1
11,15,checkout-6d9-a,248.6,9.4
11,15,checkout-6d9-b,263.4,9.0
11,16,checkout-6d9-a,292.5,11.0
11,16,checkout-6d9-b,285.5,8.7
11,17,checkout-6d9-a,336.8,9.6
11,17,checkout-6d9-b,338.5,11.2
11,18,checkout-6d9-a,409.0,15.1
11,18,checkout-6d9-b,385.4,14.3
11,19,checkout-6d9-a,429.6,14.6
11,19,checkout-6d9-b,438.7,13.6
11,20,checkout-6d9-a,454.1,11.2
11,20,checkout-6d9-b,458.0,13.9
11,21,checkout-6d9-a,447.5,15.1
11,21,checkout-6d9-b,436.0,15.8
11,22,checkout-6d9-a,398.6,12.6
11,22,checkout-6d9-b,399.0,16.5
11,23,checkout-6d9-a,352.6,12.7
11,23,checkout-6d9-b,331.3,9.4
12,0,checkout-6d9-a,153.5,4.8
12,0,checkout-6d9-b,166.2,7.0
12,1,checkout-6d9-a,174.3,7.0
12,1,checkout-6d9-b,164.8,7.8
12,2,checkout-6d9-a,158.0,10.1
12,2,checkout-6d9-b,150.5,7.4
12,3,checkout-6d9-a,152.7,6.1
12,3,checkout-6d9-b,165.9,6.4
12,4,checkout-6d9-a,159.3,3.5
12,4,checkout-6d9-b,145.0,7.2
12,5,checkout-6d9-a,155.7,8.9
12,5,checkout-6d9-b,170.4,9.5
12,6,checkout-6d9-a,176.3,6.5
12,6,checkout-6d9-b,181.5,5.5
12,7,checkout-6d9-a,187.1,6.1
12,7,checkout-6d9-b,201.4,5.5
12,8,checkout-6d9-a,208.0,6.3
12,8,checkout-6d9-b,187.3,9.0
12,9,checkout-6d9-a,224.0,7.4
12,9,checkout-6d9-b,242.0,11.5
12,10,checkout-6d9-a,236.8,8.1
12,10,checkout-6d9-b,228.1,6.9
12,11,checkout-6d9-a,263.0,9.9
12,11,checkout-6d9-b,263.0,8.8
12,12,checkout-6d9-a,281.2,10.2
12,12,checkout-6d9-b,256.3,10.9
12,13,checkout-6d9-a,266.1,9.9
12,13,checkout-6d9-b,268.3,10.3
12,14,checkout-6d9-a,260.4,8.4
12,14,checkout-6d9-b,255.8,7.5
12,15,checkout-6d9-a,294.7,9.9
12,15,checkout-6d9-b,282.5,10.3
12,16,checkout-6d9-a,306.6,10.7
12,16,checkout-6d9-b,323.3,10.2
12,17,checkout-6d9-a,368.4,12.9
12,17,checkout-6d9-b,367.9,11.4
12,18,checkout-6d9-a,401.7,10.8
12,18,checkout-6d9-b,425.9,15.0
12,19,checkout-6d9-a,459.2,16.2
12,19,checkout-6d9-b,465.9,16.0
12,20,checkout-6d9-a,473.7,17.3
12,20,checkout-6d9-b,494.5,16.9
12,21,checkout-6d9-a,461.2,17.0
12,21,checkout-6d9-b,469.0,14.9
12,22,checkout-6d9-a,432.7,17.7
12,22,checkout-6d9-b,409.6,12.6
12,23,checkout-6d9-a,356.2,10.1
12,23,checkout-6d9-b,373.1,15.2
13,0,checkout-6d9-a,123.1,8.5
13,0,checkout-6d9-b,125.0,4.9
13,1,checkout-6d9-a,131.0,6.1
13,1,checkout-6d9-b,122.9,2.0
13,2,checkout-6d9-a,121.4,5.0
13,2,checkout-6d9-b,138.5,7.4
13,3,checkout-6d9-a,124.9,6.3
13,3,checkout-6d9-b,140.2,7.5
13,4,checkout-6d9-a,129.8,5.5
13,4,checkout-6d9-b,148.1,4.7
13,5,checkout-6d9-a,130.3,5.5
13,5,checkout-6d9-b,152.3,5.7
13,6,checkout-6d9-a,148.3,6.8
13,6,checkout-6d9-b,153.4,6.3
13,7,checkout-6d9-a,169.4,7.8
13,7,checkout-6d9-b,161.3,4.9
13,8,checkout-6d9-a,173.7,9.7
13,8,checkout-6d9-b,172.0,7.5
13,9,checkout-6d9-a,204.6,7.0
13,9,checkout-6d9-b,188.3,9.3
13,10,checkout-6d9-a,220.5,7.7
13,10,checkout-6d9-b,206.4,7.1
13,11,checkout-6d9-a,222.6,7.8
13,11,checkout-6d9-b,231.0,10.0
13,12,checkout-6d9-a,235.9,6.3
13,12,checkout-6d9-b,227.6,8.4
13,13,checkout-6d9-a,234.0,8.8
13,13,checkout-6d9-b,217.2,8.5
13,14,checkout-6d9-a,231.4,9.1
13,14,checkout-6d9-b,218.8,6.1
13,15,checkout-6d9-a,236.6,7.5
13,15,checkout-6d9-b,220.6,9.8
13,16,checkout-6d9-a,282.4,11.7
13,16,checkout-6d9-b,271.5,7.9
13,17,checkout-6d9-a,316.9,9.3
13,17,checkout-6d9-b,308.9,10.2
13,18,checkout-6d9-a,352.1,10.2
13,18,checkout-6d9-b,360.0,13.4
13,19,checkout-6d9-a,394.8,13.1
13,19,checkout-6d9-b,387.3,12.9
13,20,checkout-6d9-a,407.4,10.9
13,20,checkout-6d9-b,399.5,13.5
13,21,checkout-6d9-a,397.2,11.3
13,21,checkout-6d9-b,401.0,14.6
13,22,checkout-6d9-a,351.4,10.3
13,22,checkout-6d9-b,357.2,14.1
13,23,checkout-6d9-a,309.5,10.8
13,23,checkout-6d9-b,306.6,10.4
14,0,checkout-6d9-a,142.1,6.8
14,0,checkout-6d9-b,140.1,3.3
14,1,checkout-6d9-a,132.0,7.1
14,1,checkout-6d9-b,139.5,6.0
14,2,checkout-6d9-a,131.2,5.9
14,2,checkout-6d9-b,138.2,4.5
14,3,checkout-6d9-a,133.5,5.5
14,3,checkout-6d9-b,130.6,7.9
14,4,checkout-6d9-a,140.8,5.5
14,4,checkout-6d9-b,121.2,5.5
